"state","puma22","cd118","stab","PUMA22name","pop20","afact"
"04","00108","03","AZ","Maricopa County--Tempe (South) & Chandler (Northwest) Cities",5322,0.0493 
"04","00108","04","AZ","Maricopa County--Tempe (South) & Chandler (Northwest) Cities",102676,0.9507 
"04","00109","01","AZ","Maricopa County--Tempe City (North)",1,0 
"04","00109","03","AZ","Maricopa County--Tempe City (North)",35,0.0003 
"04","00109","04","AZ","Maricopa County--Tempe City (North)",108480,0.9997 
"04","00110","01","AZ","Maricopa County--Scottsdale City (Southwest) & Paradise Valley Town",128498,1 
"04","00111","01","AZ","Maricopa County (Northeast)--Scottsdale City (Southeast) & Fountain Hills Town",111602,1 
"04","00112","01","AZ","Maricopa County--Scottsdale (North), Phoenix (Far Northeast) Cities & Cave Creek",119895,0.9171 
"04","00112","08","AZ","Maricopa County--Scottsdale (North), Phoenix (Far Northeast) Cities & Cave Creek",10832,0.0829 
"04","00113","01","AZ","Phoenix City (Northeast)",104693,1 
"04","00114","01","AZ","Phoenix City (Northeast Central)",111355,1 
"04","00115","01","AZ","Phoenix City (Northwest Central)",76493,0.6976 
"04","00115","08","AZ","Phoenix City (Northwest Central)",33162,0.3024 
"04","00116","01","AZ","Phoenix City (Uptown)",43728,0.3952 
"04","00116","03","AZ","Phoenix City (Uptown)",50530,0.4567 
"04","00116","08","AZ","Phoenix City (Uptown)",16390,0.1481 
"04","00117","01","AZ","Phoenix City (East)",79987,0.7275 
"04","00117","03","AZ","Phoenix City (East)",29959,0.2725 
"04","00118","01","AZ","Phoenix City--Downtown & Sky Harbor International Airport",2084,0.0179 
"04","00118","03","AZ","Phoenix City--Downtown & Sky Harbor International Airport",110317,0.9498 
"04","00118","04","AZ","Phoenix City--Downtown & Sky Harbor International Airport",3745,0.0322 
"04","00119","03","AZ","Phoenix City (South)",117231,1 
"04","00120","03","AZ","Phoenix City--Ahwatukee & South Mountain",28135,0.2588 
"04","00120","04","AZ","Phoenix City--Ahwatukee & South Mountain",80565,0.7412 
"04","00121","03","AZ","Phoenix (Southwest) & Tolleson Cities",147085,0.8819 
"04","00121","07","AZ","Phoenix (Southwest) & Tolleson Cities",19694,0.1181 
"04","00122","03","AZ","Phoenix City--Maryvale (East)",102202,1 
"04","00123","03","AZ","Phoenix City--Maryvale (West)",115847,1 
"04","00124","03","AZ","Maricopa County--Glendale City (South)",45671,0.3991 
"04","00124","08","AZ","Maricopa County--Glendale City (South)",21748,0.19 
"04","00124","09","AZ","Maricopa County--Glendale City (South)",47026,0.4109 
"04","00125","03","AZ","Phoenix City (West)",23694,0.2069 
"04","00125","08","AZ","Phoenix City (West)",90852,0.7931 
"04","00126","08","AZ","Maricopa County--Glendale City (North)",129933,1 
"04","00127","08","AZ","Maricopa County--Peoria City (South & Central)",121259,1 
"04","00128","08","AZ","Phoenix City (North)",110257,1 
"04","00129","01","AZ","Phoenix (Far North) & Peoria (Northwest) Cities",11501,0.0818 
"04","00129","08","AZ","Phoenix (Far North) & Peoria (Northwest) Cities",129072,0.9182 
"04","00130","08","AZ","Maricopa County--El Mirage & Sun City",78023,0.6162 
"04","00130","09","AZ","Maricopa County--El Mirage & Sun City",48604,0.3838 
"04","00131","08","AZ","Maricopa County--Surprise City (Central)",28679,0.2324 
"04","00131","09","AZ","Maricopa County--Surprise City (Central)",94720,0.7676 
"04","00132","07","AZ","Maricopa County--Goodyear, Glendale (West) & Litchfield Park (Northwest) Cities",26,0.0002 
"04","00132","09","AZ","Maricopa County--Goodyear, Glendale (West) & Litchfield Park (Northwest) Cities",146725,0.9998 
"04","00133","03","AZ","Maricopa County--Avondale (Central) & Litchfield Park (Central) Cities",18584,0.1512 
"04","00133","07","AZ","Maricopa County--Avondale (Central) & Litchfield Park (Central) Cities",91983,0.7485 
"04","00133","09","AZ","Maricopa County--Avondale (Central) & Litchfield Park (Central) Cities",12316,0.1002 
"04","00134","02","AZ","Maricopa County (West) & Gila River Indian Community (Northwest)",3583,0.0212 
"04","00134","07","AZ","Maricopa County (West) & Gila River Indian Community (Northwest)",2775,0.0165 
"04","00134","08","AZ","Maricopa County (West) & Gila River Indian Community (Northwest)",24403,0.1447 
"04","00134","09","AZ","Maricopa County (West) & Gila River Indian Community (Northwest)",137925,0.8176 
"04","00135","05","AZ","Maricopa County--Gilbert (South) & Queen Creek Towns",166371,1 
"04","00400","02","AZ","Gila, Graham, Greenlee Counties",57992,0.5721 
"04","00400","06","AZ","Gila, Graham, Greenlee Counties",43376,0.4279 
"04","00500","02","AZ","Coconino County",145101,1 
"04","00601","02","AZ","Mohave County North--City of Kingman & Bullhead City",1526,0.0137 
"04","00601","09","AZ","Mohave County North--City of Kingman & Bullhead City",109673,0.9863 
"04","00602","09","AZ","Mohave County South--Lake Havasu City",102068,1 
"04","00701","07","AZ","La Paz & Yuma Counties--Parker, Quartzsite, Wellton Somerton & San Luis Cities",55883,0.5236 
"04","00701","09","AZ","La Paz & Yuma Counties--Parker, Quartzsite, Wellton Somerton & San Luis Cities",50849,0.4764 
"04","00803","02","AZ","Pinal County (North)--Apache Junction City",17245,0.1169 
"04","00803","05","AZ","Pinal County (North)--Apache Junction City",130332,0.8831 
"04","00805","02","AZ","Pinal County (Central)--Florence Town, Eloy (Northeast) & Coolidge Cities",66569,0.5426 
"04","00805","05","AZ","Pinal County (Central)--Florence Town, Eloy (Northeast) & Coolidge Cities",27533,0.2244 
"04","00805","06","AZ","Pinal County (Central)--Florence Town, Eloy (Northeast) & Coolidge Cities",28584,0.233 
"04","00807","02","AZ","Pinal County (West)--Maricopa, Casa Grande & Eloy (Southeast) Cities",93649,0.6495 
"04","00807","06","AZ","Pinal County (West)--Maricopa, Casa Grande & Eloy (Southeast) Cities",44277,0.3071 
"04","00807","07","AZ","Pinal County (West)--Maricopa, Casa Grande & Eloy (Southeast) Cities",6265,0.0434 
"04","00900","06","AZ","Cochise & Santa Cruz Counties--Sierra Vista City",95946,0.5542 
"04","00900","07","AZ","Cochise & Santa Cruz Counties--Sierra Vista City",77170,0.4458 
"04","01000","02","AZ","Navajo & Apache Counties",172738,1 
"04","01101","07","AZ","Yuma County--Yuma City",69000,0.6068 
"04","01101","09","AZ","Yuma County--Yuma City",44706,0.3932 
"04","01901","06","AZ","Pima County (West)",8040,0.0722 
"04","01901","07","AZ","Pima County (West)",103320,0.9278 
"04","01902","06","AZ","Tucson City (West) & Marana Town",67755,0.4932 
"04","01902","07","AZ","Tucson City (West) & Marana Town",69616,0.5068 
"04","01903","06","AZ","Pima County (North Central)--Oro Valley Town",116541,1 
"04","01904","06","AZ","Pima County (Northeast)",109666,1 
"04","01905","06","AZ","Pima County (Southeast)--Tucson City (Far Southeast) & Sahuarita Town",73389,0.6604 
